sector,Bus Transit,Clinic,Coast,College,Convenience Store,Elementary School,Food,High School,Hospital,Mall,Market,Middle School,Movie Theater,Nature Reserve,Park,Preschool,Rail Transit,Residence,School,Theme Park,Trail,Zoo
0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,6,4,0,11,4,0,11,1,9,2,0,0,0,0,22,1,1,1,1,0,3,0
2,0,0,2,0,1,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,15,1,0,2,3,0,11,0,0,1,0,0,1,1,2,1,2,10,1,0,15,0
4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,20,6,0,9,11,0,14,2,0,3,0,0,0,0,1,3,2,19,0,0,1,0
6,4,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7,14,2,0,5,7,0,13,0,0,2,0,1,0,0,6,1,2,3,0,0,0,0
8,10,1,0,1,8,1,10,0,0,2,2,0,0,0,2,0,1,16,0,0,1,0
9,0,0,1,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10,17,3,0,0,26,0,14,3,0,6,0,0,0,0,4,0,0,26,0,0,0,0
11,0,0,0,0,0,0,6,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1
12,20,0,0,7,11,1,11,7,0,2,0,0,0,0,5,2,2,22,3,0,0,0
13,21,1,0,0,13,0,10,0,0,20,1,0,4,0,10,0,2,7,0,1,1,0
14,23,1,6,20,6,0,10,2,0,1,1,0,0,0,6,0,0,12,0,0,0,0
15,2,0,0,1,2,0,10,0,0,0,0,0,1,0,8,0,4,0,0,1,3,20
16,18,3,0,5,11,0,11,3,0,3,1,0,0,2,3,2,1,21,0,0,2,0
17,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0
18,18,4,0,21,8,1,11,3,0,4,1,0,1,0,5,0,1,21,0,0,0,0
19,22,7,3,3,11,0,10,0,0,3,0,0,0,0,3,1,0,11,0,0,0,0
20,11,8,3,0,0,0,7,0,13,0,0,0,1,0,1,1,2,2,0,0,5,0
21,5,0,1,2,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
22,20,0,0,26,1,0,12,0,0,0,0,0,0,0,2,0,0,8,0,0,0,0
23,19,2,2,5,20,1,10,1,0,8,0,0,0,0,9,0,1,14,0,2,0,0
24,9,0,3,3,3,0,11,0,0,0,1,0,0,0,1,0,0,2,0,0,2,0
25,19,0,1,2,16,1,12,1,0,0,0,0,0,0,10,2,1,17,0,0,1,1
26,8,5,0,6,12,2,10,4,0,2,0,0,0,0,1,0,1,34,1,0,0,0
27,3,0,3,2,1,0,10,0,0,0,0,0,0,0,4,0,1,1,0,22,0,0
28,12,2,0,3,12,0,11,3,0,1,1,0,0,0,3,0,1,31,0,0,2,0
29,9,2,0,0,19,0,10,0,0,5,0,0,2,0,4,0,2,0,0,2,2,0
30,14,0,0,2,4,0,10,0,1,1,0,0,0,0,5,0,1,13,0,0,1,0
33,24,3,0,2,5,1,10,2,0,2,1,0,0,0,3,0,0,18,2,0,1,0
34,0,0,2,2,0,0,4,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0
35,17,4,0,25,7,1,10,0,0,3,1,0,0,0,2,0,1,23,0,0,2,0
37,7,1,3,1,5,0,12,0,0,3,0,0,2,0,30,0,1,0,0,4,1,0
38,17,0,0,2,2,0,11,2,0,0,0,0,0,1,2,0,0,16,1,0,5,0
39,3,0,1,1,0,0,5,0,0,1,0,0,0,0,2,0,0,0,0,0,0,5
